"Tid","Typ","Text"
"2026-03-13 02:30:00.081","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-13 02:30:00.010","Information","Sequence 41 queued"
"2026-03-13 02:30:00.010","Information","Sequence 41 start"
"2026-03-13 00:53:08.004","Information","Sequence 9 emptied 0 valves in 13 minutes"
"2026-03-13 00:35:00.138","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-13 00:35:00.067","Information","Sequence 9 start"
"2026-03-13 00:35:00.067","Information","Sequence 9 queued"
"2026-03-12 17:31:32.195","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-12 17:25:03.138","Information","Sequence 21 queued"
"2026-03-12 17:24:23.587","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-12 17:24:23.518","Information","Sequence 31 queued"
"2026-03-12 17:24:23.518","Information","Sequence 31 start"
"2026-03-12 16:21:27.383","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-12 16:14:58.954","Information","Sequence 21 queued"
"2026-03-12 16:14:17.303","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-12 16:14:17.233","Information","Sequence 31 start"
"2026-03-12 16:14:17.233","Information","Sequence 31 queued"
"2026-03-12 15:49:14.830","Information","Sequence 12 emptied 19 valves in 14 minutes"
"2026-03-12 15:30:00.114","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-12 15:30:00.044","Information","Sequence 12 start"
"2026-03-12 15:30:00.044","Information","Sequence 12 queued"
"2026-03-12 15:26:13.524","Information","Remote connection 0 (0=off, 1=on)"
"2026-03-12 15:24:54.005","Information","Remote connection 1 (0=off, 1=on)"
"2026-03-12 15:08:41.779","Information","Sequence 11 emptied 3 valves in 3 minutes"
"2026-03-12 15:00:00.072","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-12 15:00:00.001","Information","Sequence 11 start"
"2026-03-12 14:57:00.870","Generellt","Container 1 will soon be full"
"2026-03-12 14:56:55.340","Nödstopp","Average power during last hour have been higher than 30 kW. System will pause further operation until next calendar hour"
"2026-03-12 14:56:54.221","Information","Sequence 11 emptied 22 valves in 21 minutes"
"2026-03-12 14:55:01.033","Information","Sequence 11 queued"
"2026-03-12 14:47:26.873","Information","Sequence 21 queued"
"2026-03-12 14:46:47.255","Information","Sequence 31 queued"
"2026-03-12 14:30:00.097","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-12 14:30:00.027","Information","Sequence 11 start"
"2026-03-12 14:30:00.027","Information","Sequence 11 queued"
"2026-03-12 14:15:29.792","Information","Sequence 21 emptied 1 valves in 1 minutes"
"2026-03-12 14:13:40.731","Information","Sequence 21 start"
"2026-03-12 14:13:39.611","Information","Sequence 31 emptied 2 valves in 2 minutes"
"2026-03-12 14:06:57.324","Information","Sequence 21 queued"
"2026-03-12 14:06:17.424","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-12 14:06:17.354","Information","Sequence 31 start"
"2026-03-12 14:06:17.354","Information","Sequence 31 queued"
"2026-03-12 14:05:57.404","Generellt","Warning! High compressed air leakage"
"2026-03-12 14:05:57.334","Information","Change to automatic operation mode"
"2026-03-12 14:02:52.115","Information","Remote connection 0 (0=off, 1=on)"
"2026-03-12 14:01:51.635","Generellt","Alarm reset"
"2026-03-12 14:01:10.545","Information","Remote connection 1 (0=off, 1=on)"
"2026-03-12 14:00:47.584","Information","Remote connection 0 (0=off, 1=on)"
"2026-03-12 13:54:12.157","Information","Remote connection 1 (0=off, 1=on)"
"2026-03-12 13:31:39.412","Information","Remote connection 0 (0=off, 1=on)"
"2026-03-12 13:30:10.091","Information","Remote connection 1 (0=off, 1=on)"
"2026-03-12 13:27:04.313","Information","Remote connection 0 (0=off, 1=on)"
"2026-03-12 13:26:20.072","Information","Remote connection 1 (0=off, 1=on)"
"2026-03-12 13:01:01.219","Information","Remote connection 0 (0=off, 1=on)"
"2026-03-12 12:55:17.941","Totalt stopp","Cut-off valve after separator 1 failed to close"
"2026-03-12 12:54:00.871","Information","Change to manual operation mode"
"2026-03-12 12:54:00.871","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-12 12:53:04.311","Information","Remote connection 1 (0=off, 1=on)"
"2026-03-12 12:44:34.153","Totalt stopp","Cut-off valve after separator 1 failed to close"
"2026-03-12 12:43:16.102","Information","Sequence 21 emptied 1 valves in 2 minutes"
"2026-03-12 12:36:05.675","Information","Sequence 21 start"
"2026-03-12 12:36:05.675","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-12 12:36:05.604","Information","Sequence 21 queued"
"2026-03-12 10:51:41.188","Information","Sequence 53 emptied 8 valves in 4 minutes"
"2026-03-12 10:46:42.639","Information","Sequence 53 start"
"2026-03-12 10:46:41.449","Information","Sequence 52 emptied 3 valves in 2 minutes"
"2026-03-12 10:44:31.531","Information","Sequence 52 start"
"2026-03-12 10:44:30.411","Information","Sequence 51 emptied 6 valves in 9 minutes"
"2026-03-12 10:37:50.922","Generellt","Level error on DV 10:5"
"2026-03-12 10:31:00.023","Information","Sequence 53 queued"
"2026-03-12 10:30:00.103","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-12 10:30:00.034","Information","Sequence 51 queued"
"2026-03-12 10:30:00.034","Information","Sequence 52 queued"
"2026-03-12 10:30:00.034","Information","Sequence 51 start"
"2026-03-12 09:07:53.662","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-12 09:01:22.155","Information","Sequence 21 queued"
"2026-03-12 09:00:42.604","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-12 09:00:42.535","Information","Sequence 31 queued"
"2026-03-12 09:00:42.535","Information","Sequence 31 start"
"2026-03-12 07:50:25.470","Information","Sequence 21 emptied 1 valves in 3 minutes"
"2026-03-12 07:49:51.243","Generellt","Level error on DV 28:7"
"2026-03-12 07:42:05.742","Information","Sequence 21 start"
"2026-03-12 07:42:05.742","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-12 07:42:05.672","Information","Sequence 21 queued"
"2026-03-12 07:07:32.280","Information","Sequence 31 emptied 1 valves in 2 minutes"
"2026-03-12 07:01:00.002","Information","Sequence 21 queued"
"2026-03-12 07:00:20.103","Information","Compressor is building pressure and this can take a few minutes"
"2026-03-12 07:00:20.033","Information","Sequence 31 start"
"2026-03-12 07:00:20.033","Information","Sequence 31 queued"
"2026-03-12 06:32:23.610","Information","Remote connection 0 (0=off, 1=on)"
